agency_name,corruption_keyword,title,description,published date,url,publisher
ALAMO PD,officer misconduct,Black jogger's lawsuit against San Antonio headed to settlement talks - San Antonio Report,Black jogger's lawsuit against San Antonio headed to settlement talks  San Antonio Report,"Tue, 02 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vc2FuYW50b25pb3JlcG9ydC5vcmcvYmxhY2stam9nZ2VyLW1pc2lkZW50aWZpZWQtYXJyZXN0ZWQtc3Vlcy1zYW4tYW50b25pby1wb2xpY2Uv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://sanantonioreport.org', 'title': 'San Antonio Report'}"
ALAMO PD,officer misconduct,Mission Police address arrest of two officers - KVEO-TV,Mission Police address arrest of two officers  KVEO-TV,"Sat, 25 Mar 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LnZhbGxleWNlbnRyYWwuY29tL25ld3MvbG9jYWwtbmV3cy9wb2xpY2UtbWlzc2lvbi1vZmZpY2VyLWFycmVzdGVkLWZvci1pbnRveGljYXRpb24v0gFjaHR0cHM6Ly93d3cudmFsbGV5Y2VudHJhbC5jb20vbmV3cy9sb2NhbC1uZXdzL3BvbGljZS1taXNzaW9uLW9mZmljZXItYXJyZXN0ZWQtZm9yLWludG94aWNhdGlvbi9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.valleycentral.com', 'title': 'KVEO-TV'}"
ALAMO PD,officer misconduct,Stephen Clare bail hearing: SAPD details crime scene - San Antonio Express-News,Stephen Clare bail hearing: SAPD details crime scene  San Antonio Express-News,"Thu, 18 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmV4cHJlc3NuZXdzLmNvbS9uZXdzL2FydGljbGUvc3RlcGhlbi1jbGFyZS1iYWlsLXJlZHVjdGlvbi1ydWxpbmctMTgxMDY0NjQucGhw0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.expressnews.com', 'title': 'San Antonio Express-News'}"
ALAMO PD,officer misconduct,The FBI Used an Undercover Cop With Pink Hair to Spy on Activists and Manufacture Crimes - The Intercept,The FBI Used an Undercover Cop With Pink Hair to Spy on Activists and Manufacture Crimes  The Intercept,"Tue, 21 Mar 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vdGhlaW50ZXJjZXB0LmNvbS8yMDIzLzAzLzIxL2ZiaS1jb2xvcmFkby1zcHJpbmdzLXN1cnZlaWxsYW5jZS_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://theintercept.com', 'title': 'The Intercept'}"
ALAMO PD,officer misconduct,"“Systemic failures” in Uvalde shooting went far beyond local police, Texas House report details - The Texas Tribune","“Systemic failures” in Uvalde shooting went far beyond local police, Texas House report details  The Texas Tribune","Sun, 17 Jul 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LnRleGFzdHJpYnVuZS5vcmcvMjAyMi8wNy8xNy9sYXctZW5mb3JjZW1lbnQtZmFpbHVyZS11dmFsZGUtc2hvb3RpbmctaW52ZXN0aWdhdGlvbi_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.texastribune.org', 'title': 'The Texas Tribune'}"
ALAMO PD,officer misconduct,The Big Payback: San Antonio's high-profile police misconduct cases could start costing taxpayers - San Antonio Current,The Big Payback: San Antonio's high-profile police misconduct cases could start costing taxpayers  San Antonio Current,"Thu, 09 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5zYWN1cnJlbnQuY29tL25ld3MvdGhlLWJpZy1wYXliYWNrLXNhbi1hbnRvbmlvcy1oaWdoLXByb2ZpbGUtcG9saWNlLW1pc2NvbmR1Y3QtY2FzZXMtY291bGQtc3RhcnQtY29zdGluZy10YXhwYXllcnMtMzA5OTA1OTLSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.sacurrent.com', 'title': 'San Antonio Current'}"
ALAMO PD,officer misconduct,Crime Plague in the Alamo City | Crime Rate In San Antonio Texas - City Journal,Crime Plague in the Alamo City | Crime Rate In San Antonio Texas  City Journal,"Fri, 18 May 2018 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LmNpdHktam91cm5hbC5vcmcvYXJ0aWNsZS9jcmltZS1wbGFndWUtaW4tdGhlLWFsYW1vLWNpdHkv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.city-journal.org', 'title': 'City Journal'}"
ALAMO PD,officer misconduct,"Police reject Kwara cops’ wrongful dismissal claim, vow prosecution - Punch Newspapers","Police reject Kwara cops’ wrongful dismissal claim, vow prosecution  Punch Newspapers","Wed, 19 Jul 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vcHVuY2huZy5jb20vcG9saWNlLXJlamVjdC1rd2FyYS1jb3Bzd3JvbmdmdWwtZGlzbWlzc2FsLWNsYWltLXZvdy1wcm9zZWN1dGlvbi_SAVlodHRwczovL3B1bmNobmcuY29tL3BvbGljZS1yZWplY3Qta3dhcmEtY29wc3dyb25nZnVsLWRpc21pc3NhbC1jbGFpbS12b3ctcHJvc2VjdXRpb24vP2FtcA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://punchng.com', 'title': 'Punch Newspapers'}"
ALAMO PD,officer misconduct,Officer identified in Simi Valley police shooting - VC Star,Officer identified in Simi Valley police shooting  VC Star,"Thu, 19 Oct 2017 07:00:00 GMT",https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy52Y3N0YXIuY29tL3N0b3J5L25ld3MvbG9jYWwvY29tbXVuaXRpZXMvc2ltaS12YWxsZXkvMjAxNy8xMC8xOS9vZmZpY2VyLWlkZW50aWZpZWQtc2ltaS12YWxsZXktcG9saWNlLXNob290aW5nLzc4MTE3NTAwMS_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.vcstar.com', 'title': 'VC Star'}"
ALAMO PD,officer misconduct,"In Texas, George Floyd protests fuel a backlash of anti-protester laws - Houston Chronicle","In Texas, George Floyd protests fuel a backlash of anti-protester laws  Houston Chronicle ","Tue, 02 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmhvdXN0b25jaHJvbmljbGUuY29tL3BvbGl0aWNzL2FydGljbGUvdGV4YXMtZ29wLXR1cm4tZ2VvcmdlLWZsb3lkLWxlZ2FjeS1jcmFja2Rvd24tMTgwMDAwMjAucGhw0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.houstonchronicle.com', 'title': 'Houston Chronicle'}"
