agency_name,county,population,nibrs_start_date,murder_and_nonnegligent_manslaughter,negligent_manslaughter,rape,robbery,assault,burglary,larceny_theft,motor_vehicle_theft,arson,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,months_reported,report_year,agency_type,university_pd,nibrs_eligible_months,has_preliminary_nibrs_reporting,nibrs_contribution_percentage
ALAMO PD,Hidalgo County,19351,2018-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
ALPINE PD,Brewster County,5983,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
ALTON PD,Hidalgo County,17432,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
ANTHONY PD,El Paso County,5681,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
BREWSTER CO SO,Brewster County,3196,2015-01-01,1,0,2,0,19,4,9,3,1,0,0,11,2017-12-31,Sheriff's Office,False,12,False,91.67
BROWNSVILLE ISD PD,Cameron County,0,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
BROWNSVILLE PD,Cameron County,185216,2018-03-01,0,0,0,0,2,0,0,0,0,0,0,2,2017-12-31,Police Department,False,0,True,100.0
CAMERON CO CONSTABLE PCT 3,Cameron County,0,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Constable,False,0,False,0.0
CAMERON CO CONSTABLE PCT 4,Cameron County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Constable,False,0,False,0.0
CAMERON CO SO,Cameron County,104705,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
CLINT PD,El Paso County,1175,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
COMBES PD,Cameron County,3079,2019-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
DEL RIO PD,Val Verde County,35994,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
DONNA PD,Hidalgo County,16641,2017-04-01,0,0,18,7,256,164,560,43,0,0,0,10,2017-12-31,Police Department,False,9,True,100.0
EAGLE PASS PD,Maverick County,29257,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
EDCOUCH PD,Hidalgo County,3397,2015-07-01,0,0,1,0,12,5,11,3,0,0,0,9,2017-12-31,Police Department,False,12,False,75.0
EDINBURG CISD PD,Hidalgo County,0,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
EDINBURG PD,Hidalgo County,89595,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
EL PASO CO SO,El Paso County,94214,2019-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
EL PASO COMM COLLEGE PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,True,0,False,0.0
EL PASO ISD PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
EL PASO PD,El Paso County,688667,2019-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
ELSA PD,Hidalgo County,6798,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
HARLINGEN PD,Cameron County,65617,2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
HIDALGO CO CONSTABLE PCT 1,Hidalgo County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Constable,False,0,False,0.0
HIDALGO CO CONSTABLE PCT 4,Hidalgo County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Constable,False,0,False,0.0
HIDALGO CO CONSTABLE PCT. 5,Hidalgo County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Constable,False,0,False,0.0
HIDALGO CO SO,Hidalgo County,261765,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
HIDALGO PD,Hidalgo County,14048,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
HORIZON CITY PD,El Paso County,19695,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
HUDSPETH CO SO,Hudspeth County,4166,2018-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
JEFF DAVIS CO SO,Jeff Davis County,2175,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
KINNEY CO SO,Kinney County,1913,2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
LA FERIA PD,Cameron County,7279,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
LA GRULLA PD,Starr County,1720,2018-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
LA JOYA PD,Hidalgo County,4343,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
LA VILLA PD,Hidalgo County,2702,2015-07-01,0,0,1,0,13,8,12,0,0,0,0,10,2017-12-31,Police Department,False,12,False,83.33
LAGUNA VISTA PD,Cameron County,3207,2018-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
LAREDO ISD PD,Webb County,0,2020-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
